name,freereturns,items_sold,item_status,shipping_price,item_price
Custom TL John 5 Signature Ghost Electric Guitar White H-H Pickups Red Knob,False,17 sold,Brand New,0,22900
New ListingRosewood Fingerboard 6 String Electric Guitar Right Handed Sunset Color,True,,Brand New,0,10071
New ListingRed multicolor Vicers 6 strings electric guitar SSH pickup maple fingerboard,False,,Brand New,2000,19800
Hot-selling LP electric guitar mahogany body Rosewood fingerboard gold  hardware,False,,Brand New,0,20610
Glarry GST Electric Guitar Kit Right Handed School Band With 20W AMP Bag,True,,Brand New,0,7439
SG Electric Guitar Mahogany Body Rosewood Fretboard Floyd Rose Tremolo Bridge,False,,Brand New,0,27800
Musi Capricorn Fusion HSS Superstrat Pearl White Guitar #0154 Used,False,,Pre-Owned,0,14900
"New ListingLPYS-006 6-String Electric Guitar, Solid Body, Classic Style TS Color",False,,Brand New,0,20900
Sunburst 660 Electric Guitar Solid binding body 12strings Free Ship,False,7 sold,Brand New,0,32712
New ListingGlarry Flame Shape Electric Guitar 20W AMP Sound HSH Pickup Novice Guitar,True,,Brand New,0,15035
Custom Pink LP Electric Guitar Solid Body HH Pickups Fixed Bridge 6 String,False,,Brand New,0,28889
DIY Electric Guitar Kits Whole Body Zebrawood Unfinished 22 Frets Free Ship,False,,Brand New,0,15500
"Full Size 39"" GST Electric Guitar with Amp,Case,Accessories Pack Beginner",True,,Brand New,0,8499
New ListingPatriot Decree Standard Electric Guitar Black,False,,Brand New,,32999
"New ListingHuge Electric Guitar Accessories LOT- Cables, Straps, Strings, Tools, Tuner",False,,Pre-Owned,1960,3500
NEW SOLID 6 STRING WESTERN SWING & COUNTRY STEEL ELECTRIC GUITAR with GIG BAG,True,166 sold,Brand New,0,12999
New ListingStylish Dark Blue Electric Guitar with Black Pickguard High Quality Design,False,,Brand New,,11844
New ListingFender Standard Telecaster - Olympic White,False,,Pre-Owned,2127,49999
New ListingIbanez Genesis Collection RG550 Electric Guitar - Purple Neon,True,,Very Good - Refurbished,0,92399
New ListingGold UFO Electric Guitar Strings Thru Body H Pickups Black Hardware Solid Body,False,,Brand New,0,31000
"Glarry 39"" Full Size Electric Guitar Kit School Band with 20W Amplifier,Bag",True,,Brand New,0,7898
Standard Telecaster electric guitar sunburst white Gold hardware 6 string USA,False,,Brand New,0,22050
"Dragon 2000 Electric Guitar,Mahogany Body Dragon Inlay Gold Wrap Bridge",False,,Brand New,0,29520
"LyxPro Left Handed 36” Electric Guitar & Electric Guitar Accessories, Red",True,,Pre-Owned,0,8312
1959 Standard Aged Kirk Hammett Greeny Electric Guitar Relic Black Fretboard,False,,Brand New,0,25110
Custom Yellow ST Electric Guitar Relic Solid Body Scalloped Fretboard Maple Neck,False,,Brand New,,26444
New ListingEpiphone EISSBCHNH1 6 String Electric Guitar - Cherry,False,,Pre-Owned,6545,23550
US warehouse Newly Ouija Board Electric Guitar HH Pickup Black fingerboard,False,,Brand New,0,23900
Standard black SG electric guitar chrome-plated hardware H H pickup 22frets,False,,Brand New,0,19980
Custom LP Red Widow 2015 electric guitar EMG pickup Quilted maple top 6strings,False,,Brand New,0,25739
New ListingFender Stratocaster Olympic Electric Guitar #169778,False,,Pre-Owned,0,344100
Ktaxon 170 Style 39in Electric Guitar Basswood for Beginner School Band,True,,Brand New,0,7498
6 String PRS Electric Guitar Mahogany Body Solid Body HH Pickup Gold Hardware,True,,Brand New,8100,22500
Donner HUSH-X Electric Guitar Compact Humbucker Single Coil Spilt S-H Pickups /,True,,Certified - Refurbished,0,23999
New ListingEVH Bumblebee VH2 tribute guitar body,False,,Brand New,0,75000
New ListingCustom Black Beauty Electric Guitars 6 String Solid Body Gold H-H Pickups,False,,Brand New,0,27700
New ListingSpecial V Shape Black with Red Electric Guitar Rosewood Fingerboard H-H Pickups,False,,Brand New,0,30160
David Gilmour Signature ST Electric Guitar Tremolo Black Solid Body Fast Ship,False,,Brand New,2500,14216
US High Quality Lightning Style White Electric Guitar +Strap+Cord+Gigbag+Picks,False,,Brand New,0,6397
New ListingZenon Zess 60 VTG  Japan 1960's electric guitar Restored Electronics Plays XLNT,True,,Pre-Owned,1651,30000
"New ListingPrince Cloud White Electric Guitar Alder Body, Maple Neck",False,,Brand New,5000,40000
New ListingSquire Affinity Telecaster - Race Red w/Indian Laurel Neck,False,,Open Box,4000,24995
Telecaster electric guitar Maple Fingerboard Rising Sun White USA Warehouse,False,,Brand New,0,21900
New ListingBC Electric Guitar - For Parts,False,,Parts Only,3499,1599
"New ListingHollow Log  Electric  Guitar,  One of the Best Guitars I Made P-90 And Piezo PUs",False,,Pre-Owned,7500,50000
H Standard Blue Top Electric Guitar small pickups ABR bridge bone nut in stock,False,,Brand New,0,24656
Hot Selling ST SRV Relic Aged Electric Guitar Vintage SSS Pickups US Warehouse,False,,Brand New,0,17001
LP Electric Guitar Wine Red Color Mahogany Body Tune-O-Matic Bridge,False,,Brand New,0,26800
H 1959 Tobacco sunburst Electric Guitar Custom shop ABR bridge ship quickly,False,,Brand New,0,26495
CUSTOM DOUBLE NECK 6/6 WESTERN SWING SUNBURST ELECTRIC LAP STEEL GUITAR,True,224 sold,Brand New,0,17499
Man To Wolf James Hetfield Explorer Black Electric Guitar Solid Body Fast Ship,False,27 sold,Brand New,1000,25099
New ListingUS Warehouse IN STOCK New Iceman Green Electric Guitar Black Fretboard 2H Pickup,False,,Brand New,0,24900
Glarry GST Stylish H-H Pickup Electric Guitar Kit with 20W AMP Bag For Student,False,,Brand New,0,7598
New ListingOpen Box Ibanez GRX20Z GIO Electric Guitar - Black Night,False,,Open Box,0,15999
DIY 6 String TL Style Electric Guitar Kit Mahogany Body Maple Neck & Accessories,False,,Brand New,0,7689
